set_id,set_name,set_logo,set_symbol,set_tcgOnline,set_releaseDate,set_boosters,illustrator,rarity,category,dexId,hp,evolveFrom,description,level,stage,suffix,item,abilities,weaknesses,resistances,retreat,effect,trainerType,energyType,regulationMark,id,localId,name,image,boosters,image_url,image_path,variants_normal,variants_reverse,variants_holo,variants_firstEdition,variants_wPromo,types,attacks
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Yoriyuki Ikegami,Common,Pokemon,,60.0,,,,Basic,,,,,,1.0,,,,J,me02.5-001,001,Erika's Oddish,https://assets.tcgdex.net/en/me/me02.5/001,,https://assets.tcgdex.net/en/me/me02.5/001/low.png,images/2026-01-30_me02.5_me02.5-001_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,MARINA Chikazawa,Uncommon,Pokemon,,90.0,,,,Stage1,,,,,,1.0,,,,J,me02.5-002,002,Erika's Gloom,https://assets.tcgdex.net/en/me/me02.5/002,,https://assets.tcgdex.net/en/me/me02.5/002/low.png,images/2026-01-30_me02.5_me02.5-002_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,310.0,,,,Stage2,,,,,,2.0,,,,J,me02.5-003,003,Erika's Vileplume ex,https://assets.tcgdex.net/en/me/me02.5/003,,https://assets.tcgdex.net/en/me/me02.5/003/low.png,images/2026-01-30_me02.5_me02.5-003_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,sui,Common,Pokemon,,60.0,,,,Basic,,,,,,1.0,,,,J,me02.5-004,004,Erika's Bellsprout,https://assets.tcgdex.net/en/me/me02.5/004,,https://assets.tcgdex.net/en/me/me02.5/004/low.png,images/2026-01-30_me02.5_me02.5-004_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,LINNE,Uncommon,Pokemon,,90.0,,,,Stage1,,,,,,2.0,,,,J,me02.5-005,005,Erika's Weepinbell,https://assets.tcgdex.net/en/me/me02.5/005,,https://assets.tcgdex.net/en/me/me02.5/005/low.png,images/2026-01-30_me02.5_me02.5-005_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,takashi shiraishi,Rare,Pokemon,,150.0,,,,Stage2,,,,,,3.0,,,,J,me02.5-006,006,Erika's Victreebel,https://assets.tcgdex.net/en/me/me02.5/006,,https://assets.tcgdex.net/en/me/me02.5/006/low.png,images/2026-01-30_me02.5_me02.5-006_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,GIDORA,Common,Pokemon,,80.0,,,,Basic,,,,,,2.0,,,,J,me02.5-007,007,Erika's Tangela,https://assets.tcgdex.net/en/me/me02.5/007,,https://assets.tcgdex.net/en/me/me02.5/007/low.png,images/2026-01-30_me02.5_me02.5-007_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Kariya,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,J,me02.5-008,008,Chikorita,https://assets.tcgdex.net/en/me/me02.5/008,,https://assets.tcgdex.net/en/me/me02.5/008/low.png,images/2026-01-30_me02.5_me02.5-008_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Tomomi Ozaki,Uncommon,Pokemon,,100.0,,,,Stage1,,,,,,2.0,,,,J,me02.5-009,009,Bayleef,https://assets.tcgdex.net/en/me/me02.5/009,,https://assets.tcgdex.net/en/me/me02.5/009/low.png,images/2026-01-30_me02.5_me02.5-009_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,360.0,,,,Stage2,,,,,,2.0,,,,J,me02.5-010,010,Mega Meganium ex,https://assets.tcgdex.net/en/me/me02.5/010,,https://assets.tcgdex.net/en/me/me02.5/010/low.png,images/2026-01-30_me02.5_me02.5-010_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,USGMEN,Common,Pokemon,,60.0,,,,Basic,,,,,,1.0,,,,I,me02.5-011,011,Wurmple,https://assets.tcgdex.net/en/me/me02.5/011,,https://assets.tcgdex.net/en/me/me02.5/011/low.png,images/2026-01-30_me02.5_me02.5-011_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Eri Yamaki,Common,Pokemon,,90.0,,,,Stage1,,,,,,3.0,,,,I,me02.5-012,012,Silcoon,https://assets.tcgdex.net/en/me/me02.5/012,,https://assets.tcgdex.net/en/me/me02.5/012/low.png,images/2026-01-30_me02.5_me02.5-012_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Narumi Sato,Uncommon,Pokemon,,130.0,,,,Stage2,,,,,,1.0,,,,I,me02.5-013,013,Beautifly,https://assets.tcgdex.net/en/me/me02.5/013,,https://assets.tcgdex.net/en/me/me02.5/013/low.png,images/2026-01-30_me02.5_me02.5-013_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Dsuke,Common,Pokemon,,90.0,,,,Stage1,,,,,,3.0,,,,I,me02.5-014,014,Cascoon,https://assets.tcgdex.net/en/me/me02.5/014,,https://assets.tcgdex.net/en/me/me02.5/014/low.png,images/2026-01-30_me02.5_me02.5-014_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,kamonabe,Uncommon,Pokemon,,140.0,,,,Stage2,,,,,,1.0,,,,I,me02.5-015,015,Dustox,https://assets.tcgdex.net/en/me/me02.5/015,,https://assets.tcgdex.net/en/me/me02.5/015/low.png,images/2026-01-30_me02.5_me02.5-015_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Yoriyuki Ikegami,Common,Pokemon,,30.0,,,,Basic,,,,,,0.0,,,,H,me02.5-016,016,Budew,https://assets.tcgdex.net/en/me/me02.5/016,,https://assets.tcgdex.net/en/me/me02.5/016/low.png,images/2026-01-30_me02.5_me02.5-016_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Jerky,Common,Pokemon,,70.0,,,,Basic,,,,,,2.0,,,,H,me02.5-017,017,Grubbin,https://assets.tcgdex.net/en/me/me02.5/017,,https://assets.tcgdex.net/en/me/me02.5/017/low.png,images/2026-01-30_me02.5_me02.5-017_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Saboteri,Common,Pokemon,,50.0,,,,Basic,,,,,,1.0,,,,I,me02.5-018,018,Team Rocket's Tarountula,https://assets.tcgdex.net/en/me/me02.5/018,,https://assets.tcgdex.net/en/me/me02.5/018/low.png,images/2026-01-30_me02.5_me02.5-018_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Taiga Kasai,Rare,Pokemon,,130.0,,,,Stage1,,,,,,2.0,,,,I,me02.5-019,019,Team Rocket's Spidops,https://assets.tcgdex.net/en/me/me02.5/019,,https://assets.tcgdex.net/en/me/me02.5/019/low.png,images/2026-01-30_me02.5_me02.5-019_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Orca,Common,Pokemon,,80.0,,,,Basic,,,,,,1.0,,,,J,me02.5-020,020,Charmander,https://assets.tcgdex.net/en/me/me02.5/020,,https://assets.tcgdex.net/en/me/me02.5/020/low.png,images/2026-01-30_me02.5_me02.5-020_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Julie Hang,Uncommon,Pokemon,,100.0,,,,Stage1,,,,,,1.0,,,,J,me02.5-021,021,Charmeleon,https://assets.tcgdex.net/en/me/me02.5/021,,https://assets.tcgdex.net/en/me/me02.5/021/low.png,images/2026-01-30_me02.5_me02.5-021_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,aky CG Works,Double rare,Pokemon,,360.0,,,,Stage2,,,,,,1.0,,,,J,me02.5-022,022,Mega Charizard Y ex,https://assets.tcgdex.net/en/me/me02.5/022,,https://assets.tcgdex.net/en/me/me02.5/022/low.png,images/2026-01-30_me02.5_me02.5-022_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Sanosuke Sakuma,Common,Pokemon,,80.0,,,,Basic,,,,,,2.0,,,,I,me02.5-023,023,Ethan's Slugma,https://assets.tcgdex.net/en/me/me02.5/023,,https://assets.tcgdex.net/en/me/me02.5/023/low.png,images/2026-01-30_me02.5_me02.5-023_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,kodama,Rare,Pokemon,,130.0,,,,Stage1,,,,,,3.0,,,,I,me02.5-024,024,Ethan's Magcargo,https://assets.tcgdex.net/en/me/me02.5/024,,https://assets.tcgdex.net/en/me/me02.5/024/low.png,images/2026-01-30_me02.5_me02.5-024_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Kazumasa Yasukuni,Rare,Pokemon,,140.0,,,,Basic,,,,,,3.0,,,,I,me02.5-025,025,Entei,https://assets.tcgdex.net/en/me/me02.5/025,,https://assets.tcgdex.net/en/me/me02.5/025/low.png,images/2026-01-30_me02.5_me02.5-025_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,aky CG Works,Double rare,Pokemon,,230.0,,,,Basic,,,,,,2.0,,,,I,me02.5-026,026,Ethan's Ho-Oh ex,https://assets.tcgdex.net/en/me/me02.5/026,,https://assets.tcgdex.net/en/me/me02.5/026/low.png,images/2026-01-30_me02.5_me02.5-026_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Ounishi,Common,Pokemon,,80.0,,,,Basic,,,,,,3.0,,,,I,me02.5-027,027,Numel,https://assets.tcgdex.net/en/me/me02.5/027,,https://assets.tcgdex.net/en/me/me02.5/027/low.png,images/2026-01-30_me02.5_me02.5-027_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Minahamu,Uncommon,Pokemon,,140.0,,,,Stage1,,,,,,3.0,,,,I,me02.5-028,028,Camerupt,https://assets.tcgdex.net/en/me/me02.5/028,,https://assets.tcgdex.net/en/me/me02.5/028/low.png,images/2026-01-30_me02.5_me02.5-028_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Uninori,Common,Pokemon,,80.0,,,,Basic,,,,,,2.0,,,,J,me02.5-029,029,Tepig,https://assets.tcgdex.net/en/me/me02.5/029,,https://assets.tcgdex.net/en/me/me02.5/029/low.png,images/2026-01-30_me02.5_me02.5-029_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Aliya Chen,Uncommon,Pokemon,,110.0,,,,Stage1,,,,,,3.0,,,,J,me02.5-030,030,Pignite,https://assets.tcgdex.net/en/me/me02.5/030,,https://assets.tcgdex.net/en/me/me02.5/030/low.png,images/2026-01-30_me02.5_me02.5-030_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,380.0,,,,Stage2,,,,,,4.0,,,,J,me02.5-031,031,Mega Emboar ex,https://assets.tcgdex.net/en/me/me02.5/031,,https://assets.tcgdex.net/en/me/me02.5/031/low.png,images/2026-01-30_me02.5_me02.5-031_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Gemi,Common,Pokemon,,80.0,,,,Basic,,,,,,2.0,,,,I,me02.5-032,032,N's Darumaka,https://assets.tcgdex.net/en/me/me02.5/032,,https://assets.tcgdex.net/en/me/me02.5/032/low.png,images/2026-01-30_me02.5_me02.5-032_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,nagimiso,Uncommon,Pokemon,,140.0,,,,Stage1,,,,,,3.0,,,,I,me02.5-033,033,N's Darmanitan,https://assets.tcgdex.net/en/me/me02.5/033,,https://assets.tcgdex.net/en/me/me02.5/033/low.png,images/2026-01-30_me02.5_me02.5-033_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Felicia Chen,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,H,me02.5-034,034,Salandit,https://assets.tcgdex.net/en/me/me02.5/034,,https://assets.tcgdex.net/en/me/me02.5/034/low.png,images/2026-01-30_me02.5_me02.5-034_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Taiga Kasai,Uncommon,Pokemon,,120.0,,,,Stage1,,,,,,1.0,,,,H,me02.5-035,035,Salazzle,https://assets.tcgdex.net/en/me/me02.5/035,,https://assets.tcgdex.net/en/me/me02.5/035/low.png,images/2026-01-30_me02.5_me02.5-035_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Cona Nitanda,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,H,me02.5-036,036,Scorbunny,https://assets.tcgdex.net/en/me/me02.5/036,,https://assets.tcgdex.net/en/me/me02.5/036/low.png,images/2026-01-30_me02.5_me02.5-036_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,aspara,Common,Pokemon,,90.0,,,,Stage1,,,,,,1.0,,,,H,me02.5-037,037,Raboot,https://assets.tcgdex.net/en/me/me02.5/037,,https://assets.tcgdex.net/en/me/me02.5/037/low.png,images/2026-01-30_me02.5_me02.5-037_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,320.0,,,,Stage2,,,,,,0.0,,,,H,me02.5-038,038,Cinderace ex,https://assets.tcgdex.net/en/me/me02.5/038,,https://assets.tcgdex.net/en/me/me02.5/038/low.png,images/2026-01-30_me02.5_me02.5-038_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Jiro Sasumo,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,I,me02.5-039,039,Psyduck,https://assets.tcgdex.net/en/me/me02.5/039,,https://assets.tcgdex.net/en/me/me02.5/039/low.png,images/2026-01-30_me02.5_me02.5-039_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Jiro Sasumo,Uncommon,Pokemon,,120.0,,,,Stage1,,,,,,1.0,,,,I,me02.5-040,040,Golduck,https://assets.tcgdex.net/en/me/me02.5/040,,https://assets.tcgdex.net/en/me/me02.5/040/low.png,images/2026-01-30_me02.5_me02.5-040_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,REND,Common,Pokemon,,80.0,,,,Basic,,,,,,1.0,,,,J,me02.5-041,041,Totodile,https://assets.tcgdex.net/en/me/me02.5/041,,https://assets.tcgdex.net/en/me/me02.5/041/low.png,images/2026-01-30_me02.5_me02.5-041_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Felicia Chen,Uncommon,Pokemon,,100.0,,,,Stage1,,,,,,2.0,,,,J,me02.5-042,042,Croconaw,https://assets.tcgdex.net/en/me/me02.5/042,,https://assets.tcgdex.net/en/me/me02.5/042/low.png,images/2026-01-30_me02.5_me02.5-042_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,370.0,,,,Stage2,,,,,,3.0,,,,J,me02.5-043,043,Mega Feraligatr ex,https://assets.tcgdex.net/en/me/me02.5/043,,https://assets.tcgdex.net/en/me/me02.5/043/low.png,images/2026-01-30_me02.5_me02.5-043_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Krgc,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,H,me02.5-044,044,Sneasel,https://assets.tcgdex.net/en/me/me02.5/044,,https://assets.tcgdex.net/en/me/me02.5/044/low.png,images/2026-01-30_me02.5_me02.5-044_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,aspara,Uncommon,Pokemon,,100.0,,,,Stage1,,,,,,1.0,,,,H,me02.5-045,045,Weavile,https://assets.tcgdex.net/en/me/me02.5/045,,https://assets.tcgdex.net/en/me/me02.5/045/low.png,images/2026-01-30_me02.5_me02.5-045_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Wintr Wandr,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,I,me02.5-046,046,Snorunt,https://assets.tcgdex.net/en/me/me02.5/046,,https://assets.tcgdex.net/en/me/me02.5/046/low.png,images/2026-01-30_me02.5_me02.5-046_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,5ban Graphics,Double rare,Pokemon,,310.0,,,,Stage1,,,,,,1.0,,,,I,me02.5-047,047,Mega Froslass ex,https://assets.tcgdex.net/en/me/me02.5/047,,https://assets.tcgdex.net/en/me/me02.5/047/low.png,images/2026-01-30_me02.5_me02.5-047_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,akagi,Double rare,Pokemon,,230.0,,,,Basic,,,,,,3.0,,,,J,me02.5-048,048,Regice ex,https://assets.tcgdex.net/en/me/me02.5/048,,https://assets.tcgdex.net/en/me/me02.5/048/low.png,images/2026-01-30_me02.5_me02.5-048_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,yuu,Common,Pokemon,,60.0,,,,Basic,,,,,,1.0,,,,I,me02.5-049,049,N's Vanillite,https://assets.tcgdex.net/en/me/me02.5/049,,https://assets.tcgdex.net/en/me/me02.5/049/low.png,images/2026-01-30_me02.5_me02.5-049_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,kirisAki,Common,Pokemon,,100.0,,,,Stage1,,,,,,1.0,,,,I,me02.5-050,050,N's Vanillish,https://assets.tcgdex.net/en/me/me02.5/050,,https://assets.tcgdex.net/en/me/me02.5/050/low.png,images/2026-01-30_me02.5_me02.5-050_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,imoniii,Uncommon,Pokemon,,150.0,,,,Stage2,,,,,,2.0,,,,I,me02.5-051,051,N's Vanilluxe,https://assets.tcgdex.net/en/me/me02.5/051,,https://assets.tcgdex.net/en/me/me02.5/051/low.png,images/2026-01-30_me02.5_me02.5-051_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Izucch,Common,Pokemon,,50.0,,,,Basic,,,,,,1.0,,,,I,me02.5-052,052,Snom,https://assets.tcgdex.net/en/me/me02.5/052,,https://assets.tcgdex.net/en/me/me02.5/052/low.png,images/2026-01-30_me02.5_me02.5-052_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,cochi8i,Uncommon,Pokemon,,110.0,,,,Stage1,,,,,,2.0,,,,I,me02.5-053,053,Frosmoth,https://assets.tcgdex.net/en/me/me02.5/053,,https://assets.tcgdex.net/en/me/me02.5/053/low.png,images/2026-01-30_me02.5_me02.5-053_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,mashu,Uncommon,Pokemon,,130.0,,,,Basic,,,,,,2.0,,,,I,me02.5-054,054,Glastrier,https://assets.tcgdex.net/en/me/me02.5/054,,https://assets.tcgdex.net/en/me/me02.5/054/low.png,images/2026-01-30_me02.5_me02.5-054_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,kamonabe,Common,Pokemon,,70.0,,,,Basic,,,,,,1.0,,,,J,me02.5-055,055,Pikachu,https://assets.tcgdex.net/en/me/me02.5/055,,https://assets.tcgdex.net/en/me/me02.5/055/low.png,images/2026-01-30_me02.5_me02.5-055_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,Iori Suzuki,Uncommon,Pokemon,,130.0,,,,Stage1,,,,,,1.0,,,,J,me02.5-056,056,Raichu,https://assets.tcgdex.net/en/me/me02.5/056,,https://assets.tcgdex.net/en/me/me02.5/056/low.png,images/2026-01-30_me02.5_me02.5-056_low.png,True,True,True,False,False,,
me02.5,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,https://assets.tcgdex.net/univ/me/me02.5/symbol,,2026-01-30,,aky CG Works,Double rare,Pokemon,,200.0,,,,Basic,,,,,,1.0,,,,H,me02.5-057,057,Pikachu ex,https://assets.tcgdex.net/en/me/me02.5/057,,https://assets.tcgdex.net/en/me/me02.5/057/low.png,images/2026-01-30_me02.5_me02.5-057_low.png,True,True,True,False,False,,
