Card Name,Edition/Number,Variation Value,Current Price
Great Rocket's Mewtwo,Promos Japonesas,"+67.500,01","70.000,00"
Espeon Star,POP Series 5,"+44.100,99","54.999,99"
Charizard-EX,XY Promos (JP),"+15.099,99","24.999,99"
Mew Luminescente - CoroCoro Magazine,Promos Japonesas,"+9.100,00","9.999,99"
Charizard ex,FireRed & LeafGreen,"+2.999,00","3.999,00"
Charizard-GX,Destinos Ocultos,"+2.509,00","4.999,00"
Charizard ex,Pok&eacute;mon Card 151,"+2.050,10","4.950,00"
Umbreon ex,Evolu&ccedil;&otilde;es Prism&aacute;ticas,"+949,99","3.499,99"
Alph Lithograph,HeartGold SoulSilver,"+740,00","899,99"
Gengar da Sabrina,Challenge from the Darkness,"+725,00","2.475,00"
Glaceon,Rising Fist,"+469,99","499,99"
Flareon,Delta Species,"+418,50","649,90"
M Rayquaza-EX,Origens Ancestrais,"+417,50","800,00"
Moltres de Galar-V,Peerless Fighters,"+349,99","3.499,90"
Latios,EX Holon Phantoms,"+339,51","419,50"
Tapu Lele-GX,25th Anniversary Promo Pack,"+317,80","352,79"
Mega Lucario ex,Mega Brave,"+300,09","3.299,99"
Rayquaza-V,C&eacute;us em Evolu&ccedil;&atilde;o,"+249,91","749,90"
Charizard,Cole&ccedil;&atilde;o B&aacute;sica,"+200,01","1.179,90"
Umbreon,Neo Discovery,"+200,00","850,00"
Jumpluff,Aquapolis,"+169,50","469,50"
Zapdos ex,151,"+167,10","397,00"
Kissera,Shiny Treasure ex,"+158,08","1.597,99"
Alakazam,Expansion Pack,"+151,99","349,99"
Mew Ancestral,Promos,"+150,00","399,99"
Espeon-V,Eevee Heroes,"+139,90","1.399,00"
Detetive Pikachu,Escarlate e Violeta Promos (JP),"+129,99","1.499,99"
Aurora,Uni&atilde;o de Aliados,"+120,99","399,99"
Crobat ex da Equipe Rocket,Glory of the Rocket Gang,"+120,98","499,98"
Garchomp ex da C&iacute;ntia,Rivais Predestinados,"+120,50","570,00"
Mega Lucario ex,Megaevolu&ccedil;&atilde;o,"+110,00","1.089,90"
Mewtwo-V-ASTRO,VSTAR Universe,"+99,95","649,95"
Cradily ex,Team Magma vs Team Aqua,"+99,60","299,50"
Tyranitar ex,Shockwave! Tyranitar ex Constructed,"+99,51","189,50"
Areza,Strength Expansion Pack: Dark Phantasma,"+99,50","249,50"
Pikachu ex,MEGA Dream ex,"+99,10","1.699,00"
Psyduck,151,"+85,91","215,91"
Slowking de Galar-V,Peerless Fighters,"+79,99","799,90"
Blaziken-V,VMAX Climax,"+78,09","199,99"
Pikachu-EX,XY Promos,"+74,99","199,99"
Celebi e Venusaur-GX,Uni&atilde;o de Aliados,"+74,09","143,99"
Light Jolteon,Neo Destiny,"+71,00","120,00"
Ambi&ccedil;&atilde;o da C&iacute;ntia,VSTAR Universe,"+70,17","799,60"
Zekrom,Legendary Shine Collection,"+70,10","300,00"
Umbreon e Darkrai-GX,Tag All Stars,"+70,09","699,99"
Moltres ex da Equipe Rocket,Glory of the Rocket Gang,"+70,09","1.600,00"
Dragonite ex,Dragon Frontiers,"+70,00","469,90"
Ho-Oh Luminescente,Sol e Lua Promos,"+69,99","149,99"
Blaine's Growlithe - CoroCoro Promo,Promos Japonesas,"+69,89","69,99"
Raichu,F&oacute;ssil,"+65,00","179,99"
