label,mae,r2,n_train,n_test
base/cls+mean/pca32,6.3854204167433934,0.286960113298774,16203,2491
large/cls+mean/pca32,6.405065781921293,0.2948141520621148,16203,2491
small/cls+mean/pca64,6.440054653868186,0.29007804588953545,16203,2491
base/mean/pca64,6.44398811838967,0.2924735454287736,16203,2491
large/cls/pca32,6.46507305956097,0.2852325699620628,16203,2491
large/mean/pca64,6.486862613362425,0.2929127544320005,16203,2491
base/cls+mean/pca64,6.508794328207827,0.2935356195794053,16203,2491
small/mean/pca64,6.5097489141464395,0.29624143376477163,16203,2491
large/mean/pca32,6.516613971764159,0.2656047693786031,16203,2491
base/cls/pca64,6.5324284306522,0.2888470555788576,16203,2491
base/cls+mean/pca16,6.543785648644753,0.26573993803230367,16203,2491
large/cls/pca16,6.554283591042286,0.2775311560659802,16203,2491
small/mean/pca32,6.564736289514834,0.2881197993501238,16203,2491
base/mean/pca32,6.590422992393588,0.2780646560843383,16203,2491
base/mean/pca16,6.600078210185556,0.28770768845219097,16203,2491
base/cls/pca32,6.604800256028888,0.2735099229661486,16203,2491
small/cls+mean/pca32,6.6109788289155285,0.28944127966579614,16203,2491
small/cls+mean/pca16,6.62404579313313,0.28784536038692143,16203,2491
small/cls/pca16,6.624251491586618,0.2446980284861512,16203,2491
large/cls+mean/pca16,6.6253374725229115,0.2525193332966068,16203,2491
small/cls/pca32,6.63414025142178,0.27409059357080645,16203,2491
large/cls+mean/pca64,6.677648210183091,0.27897781842335656,16203,2491
large/cls/pca64,6.686272829545764,0.26998083794579664,16203,2491
base/cls/pca16,6.696019557464187,0.2548846133022602,16203,2491
small/cls/pca64,6.7203852134511,0.2793475960384415,16203,2491
large/mean/pca16,6.725971344483768,0.26641401293477673,16203,2491
small/mean/pca16,6.735619252843928,0.25685977784940184,16203,2491
